view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,word_phase,response,certainty
,689.95,html-keyboard-response,298,479760,0.0-2.0-1.0-3.3,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Animals/cat2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>neko</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Animals/Alt/panda.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,Phase 2,Animal,neko,chizu,match_image,../img/Animals/Alt/panda.jpg,70,TRUE,,,,
,null,html-keyboard-response,299,481776,0.0-2.0-1.0-4.3,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #1f971f;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Animals/cat2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>neko</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Animals/Alt/panda.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,Phase 2,Animal,neko,chizu,,,,,,,,
,null,html-keyboard-response,300,483780,0.0-2.0-1.0-5.3,,,reward,,,,,<div style='padding-top:50px; font-size: 35px; color:black;'><p><b>You earned +1p</b></div><div class='frame'><span class='helper'></span><img src='../img/greystar.jpg' style='vertical-align:middle' height='240px' width='240px'></div><div style='font-size: 27px;color:black;'><p><b> Total bonus: £0.18 </b></div>,null,Phase 2,Animal,neko,chizu,,,,,0.01,,,
,null,html-keyboard-response,301,484793,0.0-2.0-1.0-0.4,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,,
,null,html-keyboard-response,302,486799,0.0-2.0-1.0-1.4,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>tama</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Objects/ball.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,Phase 2,Object,tama,tsue,,,,,,,,
,null,html-keyboard-response,303,487815,0.0-2.0-1.0-2.4,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,,
,867.53,html-keyboard-response,304,488685,0.0-2.0-1.0-3.4,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>tama<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/ball2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>tsue<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,Phase 2,Object,tama,tsue,match_word,../img/Objects/Alt/camera.jpg,70,TRUE,,,,
,null,html-keyboard-response,305,490701,0.0-2.0-1.0-4.4,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #1f971f;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px; color:#1f971f;'class='Column'>tama<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Objects/ball2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px; color:#d61818;'class='Column'>tsue<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,Phase 2,Object,tama,tsue,,,,,,,,
,null,html-keyboard-response,306,492717,0.0-2.0-1.0-5.4,,,reward,,,,,<div style='padding-top:50px; font-size: 35px; color:#1f971f;'><p><b>You earned +15p</b></div><div class='frame'><span class='helper'></span><img src='../img/greenstar.jpg' style='vertical-align:middle' height='240px' width='240px'></div><div style='font-size: 27px;color:#1f971f;'><p><b> Total bonus: £0.33 </b></div>,null,Phase 2,Object,tama,tsue,,,,,0.15,,,
,null,html-keyboard-response,307,493727,0.0-2.0-1.0-0.5,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,,
